CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
151011766,11/2/16,12:30:00,11/2/16,12:40:00,11/2/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,,STREET,,,1015175,184482,40.67299142,-73.88851703,"(40.672991422, -73.888517028)"
475790200,12/17/16,1:50:00,12/17/16,2:00:00,12/17/16,106,FELONY ASSAULT,106,"ASSAULT 2,1,PEACE OFFICER",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,,STREET,,,1020209,184499,40.67301907,-73.87036943,"(40.673019069, -73.870369427)"
973751010,12/24/16,12:00:00,12/24/16,12:30:00,12/24/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,73,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1009835,184539,40.67316492,-73.90776746,"(40.673164918, -73.90776746)"
814642726,11/25/16,22:20:00,11/25/16,22:25:00,11/26/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,GROCERY/BODEGA,,,1001160,184534,40.67317201,-73.93904086,"(40.673172014, -73.939040855)"
841207942,11/13/16,16:45:00,11/13/16,17:11:00,11/13/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,FRONT OF,RESIDENCE - APT. HOUSE,,,1018297,184609,40.67332855,-73.87726161,"(40.673328553, -73.877261612)"
432945529,12/13/16,11:15:00,12/13/16,11:30:00,12/13/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE-HOUSE,,,1017107,184621,40.67336599,-73.88155151,"(40.673365986, -73.881551513)"
420246980,11/6/16,12:40:00,11/6/16,12:50:00,11/6/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,106,INSIDE,RESIDENCE-HOUSE,,,1037960,184724,40.67354674,-73.80637554,"(40.673546744, -73.806375541)"
735965720,11/30/16,10:00:00,11/30/16,10:05:00,11/30/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,,STREET,,,993351,184723,40.67370225,-73.96719206,"(40.673702247, -73.967192059)"
163426598,12/9/16,17:15:00,12/9/16,17:20:00,12/9/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,RESIDENCE - APT. HOUSE,,,1003485,184732,40.67371073,-73.93065866,"(40.673710733, -73.930658663)"
553214230,11/25/16,20:00:00,11/25/16,20:12:00,11/25/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,FRONT OF,CHAIN STORE,,,1013282,184822,40.67393106,-73.89533981,"(40.673931056, -73.895339809)"
278805143,12/19/16,19:30:00,12/19/16,19:35:00,12/19/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,76,INSIDE,RESIDENCE - PUBLIC HOUSING,,RED HOOK EAST,983357,184863,40.67409115,-74.00322076,"(40.674091148, -74.003220755)"
699731593,12/7/16,20:00:00,12/7/16,20:05:00,12/7/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,FRONT OF,BEAUTY & NAIL SALON,,,1057590,185015,40.67420461,-73.7356061,"(40.674204613, -73.735606101)"
293750487,12/11/16,19:30:00,12/11/16,19:35:00,12/11/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1016323,184947,40.67426366,-73.88437629,"(40.674263657, -73.884376288)"
920819160,12/23/16,20:30:00,12/23/16,20:45:00,12/23/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1016323,184947,40.67426366,-73.88437629,"(40.674263657, -73.884376288)"
